superseded_canonical_id,retained_canonical_id,merge_type,status,co_occurs_in_same_analysis_matrix,superseded_definition,retained_definition,rationale
MC0821,MC0055,threshold_formalized,applied_phase2,no,"Dentary, depth of anterior end: maintains dorsoventral height anteriorly, or increases only slightly (i.e. ratio of height of dentary at anterior end to height of dentary at midlength is 1.2 or lower) (0); increases in dorsoventral height anteriorly (i.e. ratio of height of dentary at anterior end to height of dentary at midlength is higher than 1.2) (1) (Upchurch, 1998; Wilson & Sereno, 1998; Wilson, 2002; modified here).","Dentary, depth of anterior end of ramus: slightly less than that of dentary at midlength (0); 150% minimum depth (1).",Same anterior deepening of the dentary; M19/M26 quantify the ratio.
MC0695,MC0053,states_expanded,applied_phase2,no,"Basipterygoid processes, orientation in lat- eral view: directed 80° or more to skull roof (normally perpendicular) (0); angled less than 80° to skull roof (anteroventrally directed) (1) (McIntosh, 1990; Wilson, 2002; Whitlock, 2011a; Mannion et al., 2012; Poropat et al., 2016).","Basipterygoid processes, orientation: perpendic- ular to (0) or angled approximately 45° to (1) skull roof.","Same basipterygoid-process orientation relative to the skull roof, with an expanded angular state scheme."
MC0900,MC0195,threshold_formalized,applied_phase2,no,"Ischium, morphology of conjoined distal ends: ‘V’-shaped, forming an angle of 90° or less (usually ap- proximately 50°) with each other (0); forming an angle of more than 90° (typically flat, nearly coplanar) (1) (Upchurch, 1998; Wilson & Sereno, 1998).","Ischial distal shafts, cross-sectional shape: V- shaped, forming an angle of nearly 50° with each other (0); flat, nearly coplanar (1).",Same V-shaped versus nearly coplanar conjoined distal ischia.
MC0743,MC0151,threshold_formalized,applied_phase2,no,"Scapular blade, orientation of blade long-axis with respect to coracoid articulation: more than 70° (usually approximately perpendicular) (0); 70° or less (1) (Wilson, 2002; Poropat et al., 2016).","Scapular blade, orientation: perpendicular to (0) or forming a 45° angle with (1) coracoid articulation.",Same scapular-blade long-axis orientation relative to the coracoid articulation.
MC0682,MC0012,wording_variant,applied_phase2,no,"Jugal, contact with ectopterygoid: present (0); absent, ectopterygoid contacts maxilla instead (1) (Upchurch, 1995).",Jugal-ectopterygoid contact: present (0); absent (1).,Same jugal-ectopterygoid contact presence/absence character.
MC0651,MC0201,states_expanded,applied_phase2,no,"Femoral distal condyles, orientation relative to long axis of femoral shaft: bevelled dorsolaterally approximately 10° (tibial condyle extends further dis- tally than fibular condyle) (0); perpendicular (tibial and fibular condyles extend approximately the same distance distally) (1); bevelled dorsomedially approxi- mately 10° (fibular condyle extends further distally than tibial condyle) (2) (Wilson, 2002; Mannion et al., 2013) [ordered].","Femoral distal condyles, orientation: perpendic- ular or slightly bevelled dorsolaterally (0) or bevelled dorsomedially approximately 10° (1) relative to femoral shaft.","Same distal femoral-condyle orientation relative to the shaft, with the intermediate perpendicular state separated."
MC0816,MC0048,threshold_formalized,applied_phase2,no,"Basal tubera, relative prominence: antero- posterior width is approximately 33%, or more, of dorsoventral height of the tubera (such tubera are distinct projections from the basipterygoid) (0); sheet- like, anteroposterior width is less than 33% (normally around 20%) of the dorsoventral height of the tubera (such tubera are reduced to slight swellings on the ventral surface of the basipterygoid) (1) (Wilson, 2002; Whitlock, 2011a; modified here).","Basal tubera, anteroposterior depth: approxi- mately half dorsoventral height (0); sheet-like, 20% dorsoventral height (1).",Same sheet-like versus prominent basal-tubera anteroposterior depth character.
MC0492,MC0177,threshold_modified,applied_phase2,no,"Metacarpals, longest metacarpal to radius proximodistal length ratio: less than 0.40 (0); 0.40 or greater (1) (McIntosh, 1990; Calvo & Salgado, 1995; Upchurch, 1998; Wilson & Sereno, 1998; Upchurch et al., 2004).",Longest metacarpal-to-radius ratio: close to 0.3 (0); 0.45 or more (1).,Same longest-metacarpal:radius length ratio; the 0.40 threshold closely reformulates the older ratio character.
MC0572,MC0102,wording_expanded,applied_phase2,no,"Middle–posterior dorsal neural spines: taper- ing or not flaring distally (0); flared distally with tri- angular aliform processes projecting laterally from the top [formed primarily from the expansion of the spi- nopostzygapophyseal laminae (SPOLs)] (1) (Upchurch, 1998; Wilson & Sereno, 1998; Wilson, 2002; Upchurch et al., 2004).","Middle and posterior dorsal neural spines, shape: tapering or not flaring distally (0); flared distally, with pendant, triangular lateral pro- cesses (1).",Same distally flared middle/posterior dorsal neural spine with triangular aliform processes.
MC0545,MC0088,wording_variant,applied_phase2,no,"Middle–posterior cervical neural arches, centroprezygapophyseal lamina (CPRL): single (0); bifurcates into medial and lateral branches that both contact the prezygapophysis (1) (Upchurch, 1995, 1998; Wilson, 2002; Whitlock 2011a; Mannion et al., 2013).","Middle and posterior cervical neural arches, cen- troprezygapophyseal lamina (cprl), shape: single (0); divided (1). Wilson [1999a: 650, 651] errone- ously lists this as characterizing dorsal neural arches.)",Same single-versus-divided centroprezygapophyseal lamina in middle/posterior cervicals.
MC0685,MC0018,wording_variant,applied_phase2,no,"Frontal, contribution to margin of supratem- poral fenestra: present (0); absent, frontal excluded from anterior margin of fenestra by a postorbital-pari- etal contact (1) (Wilson & Sereno, 1998).",Frontal contribution to supratemporal fossa: present (0); absent (1).,Same frontal contribution to the supratemporal fenestra/fossa margin.
MC0508,MC0214,threshold_modified,applied_phase2,no,"Astragalus, mediolateral width to maximum proximodistal height ratio: 1.8 or greater (0); less than 1.8 (1) (Wilson, 2002; Mannion et al., 2013).","Astragalus, transverse length: 50% more than (0) or subequal to (1) proximodistal height.",Same astragalar transverse-width:proximodistal-height ratio.
MC0646,MC0193,wording_expanded,applied_phase2,no,"Ischium, symphysis between the ischia: termi- nates at the base of the proximal plates (emarginate distal to pubic articulation) (0); extends along the ven- tral edges of the proximal plates as well as the distal shafts, so that there is no V-shaped gap between the anterior ends of the ischia in dorsal view (no emargin- ation distal to pubic articulation) (1) (McIntosh, 1990; Upchurch, 1998; Wilson, 2002).","Ischial blade, shape: emarginate distal to pubic peduncle (0); no emargination distal to pubic peduncle (1). 264",Same emargination/no-emargination of the ischial symphysis distal to the pubic articulation.
MC0530,MC0072,states_collapsed,applied_phase2,no,"Tooth serrations/denticles: present (0); ab- sent (1) (Wilson, 2002; Upchurch et al., 2004; Mannion et al., 2013).",Marginal tooth denticles: present (0); absent on posterior edge (1); absent on both anterior and posterior edges (2).,Same marginal tooth denticle/serration character; M19/M26 collapse the edge-specific states to present/absent.
MC0623,MC0158,states_expanded,applied_phase2,no,"Sternal plate, shape in dorsal view: subcir- cular or oval (0); triangular (created by an acute an- terolateral projection) (1); elliptical with a mildly or strongly concave lateral margin (2) (Calvo & Salgado, 1995; Upchurch, 1998; Wilson, 2002; Upchurch et al., 2004).","Sternal plate, shape: oval (0); crescentic (1).",Same overall sternal-plate outline; M19/M26 expand the shape states.
MC0616,MC0153,wording_expanded,applied_phase2,no,"Scapular glenoid surface, orientation: faces anteroventrally and/or slightly laterally (0); deflected to face anteroventrally and medially (1) (Wilson & Sereno, 1998; Upchurch et al., 2004).","Scapular glenoid, orientation: relatively flat or laterally facing (0); strongly bevelled medially (1).","Same scapular glenoid orientation, especially medial beveling."
MC0515,MC0016,states_reexpressed,applied_phase2,no,"Postorbital, ventral process: anteroposterior and mediolateral diameters equal, or mediolater- ally compressed (0); anteroposteriorly compressed (1) (Wilson & Sereno, 1998; Upchurch et al., 2004).","Postorbital, ventral process shape: transversely narrow (0); broader transversely than anteropos- teriorly (1).",Same transverse-versus-anteroposterior proportions of the postorbital ventral process.
MC0683,MC0020,states_expanded,applied_phase2,no,"Frontal, anteroposterior length to transverse width ratio: 1.0 or greater (0); less than 1.0 and >0.5 (1); 0.5 or less (2) (Whitlock, 2011a; Tschopp & Mateus, 2013; Poropat et al., 2016; revised here to add an extra state) [ordered].","Frontal, anteroposterior length: approximately twice (0) or less than (1) minimum transverse breadth.",Same frontal anteroposterior-length:transverse-width variable with an added intermediate state.
MC0686,MC0310,states_collapsed,applied_phase3_C12,no,"Lateral temporal fenestra, shape in lateral view: taller than wide anteroposteriorly and subtrian- gular (anteroposteriorly broader ventral margin and narrower dorsal apex) (0); linear, slit-like, crescentic (longer anteroposteriorly than high dorsoventrally) (1) (Harris, 2006b; Poropat et al., 2016).","Morphology of infratemporal fenestra (C9, S6) / subrectangular subtriangular 'linear (slit-like, crescentic)'",C12 C34 and M19/M26 score the shape of the lateral/infratemporal fenestra; the later formulation collapses the subrectangular state.
MC0808,MC0316,wording_expanded,applied_phase3_C12,no,"Quadratojugal, angle between anterior and dorsal processes in lateral view: less than or equal to 90°, so that the quadrate shaft is directed dorsally (0); greater than 90° (usually approaching 130°), so that the quadrate shaft slants posterodorsally (1) (Gauthier, 1986; Upchurch, 1995).",Angle between rostral and dorsal processes of the quadratojugal (U27) / roughly_90º '>>90º',Both score the angle between the anterior/rostral and dorsal processes of the quadratojugal; the later wording explicitly links the angle to quadrate-shaft orientation.
MC0557,MC0342,states_collapsed,applied_phase3_C12,no,"Dorsal centra, lateral pneumatic foramina: have margins which are flush with the lateral surface of the centrum (0); are set within a lateral fossa on the lateral surface of the centrum (1) (Bonaparte & Coria, 1993; Upchurch et al., 2004).",Lateral position of pleurocoelous foramina on thoracic vertebral bodies (U130) / absent 'flush with lateral surface (no pleurocoelous fossa)' set_within_pleurocoelous_fossa,Both score whether dorsal/thoracic pneumatic foramina are flush with the centrum surface or set within a lateral fossa; C12 also includes an absent state.
MC0727,MC0345,terminology_refined,applied_phase3_C12,no,"Middle–posterior dorsal neural spines, an- terior spinodiapophyseal lamina (aSPDL): absent (0); present (1) (Upchurch et al., 2004; Poropat et al., 2016; note that the presence of an aSPDL can only be con- firmed when a pSPDL is also present).",Accessory spinodiapophyseal lamina on thoracic vertebrae with non-bifid spinous processes (U151) / absent present,C12's accessory spinodiapophyseal lamina is the anterior SPDL/aSPDL subsequently formalized in the M19/M26 wording.
MC0729,MC0361,wording_variant,applied_phase3_C12,no,"Sacrum, ratio of mediolateral width across sa- cral vertebrae and ribs (taken at midlength on the co- ossified sacrum) to average length of a sacral centrum: less than 4.0 (0); 4.0 or higher (1) (Upchurch, 1998).",Ratio of maximum mediolateral width across sacral vertebrae and ribs:average length of sacral vertebral body (U164) / '<4.0' '>=4.0',"Definition is effectively identical: sacral mediolateral width across ribs divided by average sacral centrum length, threshold 4.0."
MC0471,MC0358,metric_formalized,applied_phase3_C12,no,"Middle–posterior dorsal centra, posterior ar- ticular face mediolateral width to dorsoventral height ratio: less than 1.0 (0); 1.0 or greater (1) (Upchurch, 1998; Upchurch et al., 2004; Mannion et al., 2013).",Cross-sectional morphology of caudal thoracic vertebral bodies (U131) / subcircular dorsoventrally_compressed,Both score transverse-versus-dorsoventral proportions of posterior/caudal dorsal centra; M19/M26 express the C12 subcircular-versus-compressed condition as a width:height ratio.
MC0473,MC0365,states_collapsed,applied_phase3_C12,no,"Anterior caudal centra, mediolateral width to dorsoventral height (excluding chevron facets) of an- terior surface ratio: less than 1.0 (0); 1.0 or greater (1) (Upchurch et al., 2004; Mannion et al., 2013).",Morphology of articular surfaces in proximal caudal vertebral bodies (U172) / subcircular dorsoventrally_compressed mediolaterally_compressed,Both score mediolateral-versus-dorsoventral proportions of the anterior/proximal caudal articular surface; the later binary ratio collapses C12's three shape states.
MC0615,MC0375,wording_variant,applied_phase3_C12,no,"Scapular acromion (proximal plate), area situ- ated posterior to the acromial ridge: flat or convex (0); forms a separate excavated area (1) (Upchurch et al., 2004).",Morphology of portion of acromion caudal to deltoid crest (U202) / flat_or_convex_and_decreases_in_mediolateral_thickness_toward_caudal_margin forms_distinct_fossa,Both score whether the scapular acromial area posterior to the deltoid/acromial ridge is flat/convex or forms a distinct fossa.
MC0742,MC0376,wording_refined,applied_phase3_C12,no,"Scapular blade, ridge on medial surface, close to junction with acromial plate and near dorsal margin: absent (0); present (1) (Sanz et al., 1999; Upchurch et al., 2004).",Dorsal ridge on medial surface of scapular body (U204) / absent present,Both score a dorsal-positioned ridge on the medial surface of the scapular blade.
MC0621,MC0378,states_reversed,applied_phase3_C12,no,"Coracoid, dorsal margin in lateral view: lies below the level of the scapular acromion plate (sepa- rated from the latter by a V-shaped notch) (0); reaches or surpasses the level of the dorsal margin of the scapular acromion plate (1) (Upchurch, 1995, 1998; Upchurch et al., 2004; Mannion et al., 2013).",Position of dorsal margin of coracoid with respect to dorsal margin of scapula (U207) / equal_or_dorsal_to_acromion 'ventral to acromion and separated from it by V-shaped notch',Same position of the coracoid dorsal margin relative to the scapular acromion; state polarity is reversed.
MC0746,MC0382,operationalization_modified,applied_phase3_C12,no,"Humerus, proximal margin in anterior/pos- terior view: straight or convex (0); sinuous, as a re- sult of a prominently developed process (attachment site for M. supracoracoideus) on the lateral margin of the proximal end (1) (Upchurch, 1998; González Riga, 2003; González Riga et al., 2009; Poropat et al., 2016).",Supracoracoideus tuberculum on proximolateral portion of humerus (U217) / absent present,Both score development of the proximolateral humeral process/tuberculum for M. supracoracoideus; M19/M26 operationalize it through proximal-margin sinuosity.
MC0626,MC0383,wording_refined,applied_phase3_C12,no,"Humeral deltopectoral crest, projection: anteriorly or anterolaterally (0); anteromedially, extending across the anterior face of the humerus (1) (Mannion et al., 2013; Upchurch et al., 2015; Poropat et al., 2016).",Position of deltopectoral crest (U220) / restricted_to_lateral_edge_of_humerus expanded_medially_across_cranial_face_of_humerus,Same medial expansion/projection of the humeral deltopectoral crest across the anterior face.
MC0628,MC0384,wording_variant,applied_phase3_C12,no,"Humerus, distal-most part of the posterior surface (supracondylar fossa) is: flat or shallowly con- cave (0); deeply concave between prominent lateral and medial vertical condylar ridges (1) (Upchurch et al., 2004).","Distocaudal surface of humerus (U221) / shallowly_concave 'deeply concave, bounded between prominent vertical ridges'",Same distal posterior humeral/supracondylar-fossa depth character: shallow/flat versus deeply concave between condylar ridges.
MC0632,MC0385,wording_variant,applied_phase3_C12,no,"Ulna, articular surface of anteromedial pro- cess is: flat (0); concave along its length (1) (Upchurch, 1995, 1998).",Morphology of articular surface of craniomedial process of ulna in cranial view (U224) / flat strongly_concave_on_proximal_surface,Same flat-versus-concave articular surface of the ulnar anteromedial/craniomedial process.
MC0495,MC0390,states_collapsed,applied_phase3_C12,no,"Manual ungual on digit I to metacarpal I proxi- modistal length ratio: 0.5 or greater (0); less than 0.5 (1) [Upchurch et al., 2004; Mannion et al., 2013; revised here so that taxa that have lost their manual phalan- ges (derived state for C242) are scored as a ‘?’].",Size of ungual on manual digit I (U240) / 'large (at least 50% length of metacarpal I)' 'reduced (<25% length of metacarpal I) or absent',Same manual digit-I ungual length relative to metacarpal I; the later binary character collapses the strongly reduced/absent condition.
MC0768,MC0398,wording_variant,applied_phase3_C12,no,"Femur, femoral head, projection: directed medially (0); directed dorsomedially (1) (Upchurch et al., 2004; Curry Rogers, 2005; Poropat et al., 2016).",Orientation of femoral caput in cranial view (U263) / medial_or_ventromedial dorsomedial,Same femoral-head/caput projection in anterior/cranial view: medial versus dorsomedial.
MC0656,MC0403,wording_expanded,applied_phase3_C12,no,"Astragalus, in dorsal (or proximal) view: rect- angular, with anteroposterior lengths of medial and lateral margins subequal (or medial margin greater) (0); wedge-shaped, narrowing anteroposteriorly to- wards its medial end, such that it has a reduced anter- omedial corner (1) (Cooper, 1981; Upchurch, 1995, 1998; Wilson & Sereno, 1998).",Craniocaudal dimension of astragalus as seen in dorsal view (U285) / widens_medially narrows_medially,Same astragalar dorsal-view shape: approximately rectangular versus narrowing anteroposteriorly toward the medial side.
MC0906,MC0406,wording_variant,applied_phase3_C12,no,"Metatarsals I–III, rugosities on dorsolat- eral margins near distal ends: absent (0); present (1) (Upchurch, 1995).",Rugosities on distal parts of dorsolateral portions of bodies of metatarsals I-III (U294) / absent present,"Same distal dorsolateral rugosities on metatarsals I–III, absent versus present."
MC0909,MC0407,wording_variant,applied_phase3_C12,no,"Pedal phalanx I-1, proximal and ventral sur- faces: meet at approximately 90° (0); proximoventral corner drawn out into thin plate underlying meta- tarsal I (1) (McIntosh et al., 1992).",Relationship of plantar to proximal surface of pedal phalanx I-1 (U301) / meet_at_~90°_angle 'meet at acute angle (area drawn into thin plate that projects caudal to distal condyles of metatarsal I)',"Same relationship of the proximal and plantar/ventral surfaces of pedal phalanx I-1, including the thin proximoventral plate."
MC0879,MC0374,development_states_modified,applied_phase3_C12,no,"Scapula, acromial ridge: absent, or only very weakly developed (0); present and well-developed, so that a clear ridge is present and defines the posterior margin of a distinct fossa on the lateral surface of the acromion (1) (Upchurch, 1995; modified here).",Deltoid crest (= crest of acromion process) (U201) / absent present,C12 scores the deltoid/acromial crest as absent/present; M19/M26 score the same acromial ridge as weak/absent versus well developed.
MC0439,MC0133,states_expanded,applied_phase4_DE12,no,"Middle caudal vertebrae, neural spines, orienta- tion: upright or lean posteriorly (0); lean anteri- orly (1). (Modified from Rose, 2007.)","Middle caudal neural spines, orientation: angled posterodorsally (0); vertical (1).","Both score orientation of middle-caudal neural spines. Wilson MC0133 distinguishes posterodorsal versus vertical, whereas DE12 collapses those into one state and adds an anteriorly leaning state; the underlying variable is the same."
MC0543,MC0420,wording_or_scope_refined,applied_phase4_DE12,no,"Cervical neural arches (post-Cv3), epipophy- ses: do not extend beyond the posterior margin of the postzygapophyses (0); extend beyond the posterior margin of the postzygapophyses (usually as prongs) (1) (Sereno et al., 1993; Yates, 2007; D’Emic, 2012; Mannion et al., 2013).","Cervical vertebrae, epipophyses, shape: stout, pillar-like expansions above postzygapophyses (0); posteriorly projecting prongs (1).",M19/M26 explicitly cite D'Emic (2012) and operationalize the same epiphyseal shape/extension variable as projecting posterior prongs versus stout/non-projecting epipophyses.
MC0546,MC0422,wording_refined,applied_phase4_DE12,no,"Middle–posterior cervical neural arches, intra- postzygapophyseal lamina (TPOL) projects beyond the posterior margin of the neural arch [including the centropostzygapophyseal laminae (CPOL)], forming a prominent subrectangular projection in lateral view: absent (0); present (1) (D’Emic, 2012; Mannion et al., 2013).","Cervical vertebrae, intrapostzygapophyseal lamina, shape: has little or no relief past margin of centropostzygapophyseal lamina (cpol) when viewed laterally (0); projects beyond cpol in lateral view, with distinct ‘kink’ (1).",M19/M26 explicitly cite D'Emic (2012) and score the same intrapostzygapophyseal lamina projecting beyond the CPOL/posterior neural-arch margin.
MC0539,MC0425,wording_refined,applied_phase4_DE12,no,"Middle–posterior cervical centra, parapophy- ses, dorsal surfaces: face dorsally or slightly dorso- laterally (0); deflected to face strongly dorsolaterally, such that the cervical ribs are displaced ventrally at least the same height as the centrum (1) (Wilson & Upchurch, 2009; D’Emic, 2012; Mannion et al., 2013).","Cervical vertebrae, parapophyses, shape and ori- entation: weakly developed, project laterally or slightly ventrally from the centrum (0); broad and project ventrally such that cervical ribs are displaced ventrally more than the height of the centrum (1). (Modified from Wilson & Upchurch, 2009.)",Both score middle-posterior cervical parapophyseal orientation and the associated ventral displacement of cervical ribs; M19/M26 explicitly cite D'Emic (2012).
MC0713,MC0429,serial_scope_refined,applied_phase4_DE12,no,"Posteriormost cervical and anteriormost dorsal neural spines, shape in anterior/posterior view: taper dorsally, or mediolateral width remains con- stant along length (0); expand dorsally, with a strongly convex dorsal margin (‘paddle-shaped’) (1) (González Riga, 2005; D’Emic, 2012; Poropat et al., 2016).","Anterior dorsal vertebrae, neural spines, shape: taper along their length (0), expand distally and end in a rounded, anteroposteriorly thin blade (‘paddle-shaped’) (1).",Same paddle-shaped dorsally expanded neural-spine morphology; M19/M26 explicitly cite D'Emic (2012) and extend the scope to the posteriormost cervical/anterior dorsal transition.
MC0554,MC0434,serial_scope_refined,applied_phase4_DE12,no,"Middle–posterior dorsal centra, ventral keel: absent (0); present (1) (Mannion et al., 2012; Poropat et al., 2016).","Middle and posterior dorsal vertebral centra, keel: absent (0); present (1).",Same presence/absence of a ventral keel on middle-posterior dorsal centra; later matrices formalize the serial position more explicitly.
