canonical_character_id,matrices_present,preferred_label,final_action,retained_or_redirect_id,freeze_confidence,final_rationale
MC0303,C12; M19; M26,THIN_PLATE_LIKE_PROCESS_DIRECTED_ROSTROMEDIALLY_EDGE_MAXILLARY,FROZEN_REAFFIRMED,MC0303,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0312,C12; M26,CONTRIBUTION_SQUAMOSAL_DORSAL_MARGIN_SUPRATEMPORAL_FENESTRA,FROZEN_REAFFIRMED,MC0312,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0325,C12; M19; M26,CROSS_SECTIONAL_BASIPTERYGOID_PROCESSES,FROZEN_REAFFIRMED,MC0325,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0327,C12; M19; M26,POSITION_ROSTRAL_END_SPLENIAL_MANDIBULAR_SYMPHYSIS,FROZEN_REAFFIRMED,MC0327,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0332,C12; DE12; M19; M26,LENGTH_WORN_TOOTH_CROWN_WIDTH_LINGUAL_FACE,FROZEN_REAFFIRMED,MC0332,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0347,C12; DE12,ORIENTATION_TRANSVERSE_PROCESSES_THORACIC_VERTEBRAE,FROZEN_REAFFIRMED,MC0347,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0351,C12,ORIENTATION_SPINOUS_PROCESSES_CRANIAL_THORACIC_VERTEBRAE,REDIRECT_TO_EXISTING,MC0273,high,"state_partition_modified: Both score cranial/anterior dorsal neural-spine orientation. C12 separates craniodorsal inclination from dorsal/caudodorsal, whereas GA11 separates strong posterior inclination from the remaining orientations. The underlying orientation variable is the same."
MC0354,C12; DE12,DISTAL_ENDS_TRANSVERSE_PROCESSES_THORACIC_VERTEBRAE,FROZEN_REAFFIRMED,MC0354,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0366,C12,PROXIMODISTAL_LENGTH_DORSOVENTRAL_HEIGHT_PROXIMAL_CAUDAL_VERTEBRAL_BODY,FROZEN_WITH_LATER_REDIRECT,MC0366,high,Earlier C12 proximal-caudal elongation concept retained; later M19/M26 average-elongation-index character redirects here.
MC0367,C12; M19; M26,HYPOSPHENAL_RIDGE_PROXIMAL_CAUDAL_VERTEBRAE,FROZEN_REAFFIRMED,MC0367,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0368,C12,VERTEBRAL_BODY_LENGTH_HEIGHT_MIDDLE_CAUDAL_VERTEBRAE,FROZEN_WITH_LATER_REDIRECT,MC0368,high,Earlier C12 middle-caudal elongation concept retained; later M19/M26 average-elongation-index character redirects here.
MC0377,C12; M26,VENTRAL_RIDGE_MEDIAL_SURFACE_SCAPULAR_BODY,FROZEN_REAFFIRMED,MC0377,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0379,C12; DE12; M19; M26,LENGTH_STERNAL_PLATE_LENGTH_HUMERUS,FROZEN_REAFFIRMED,MC0379,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0380,C12; M19; M26,RIDGE_VENTRAL_SURFACE_STERNAL_PLATE,FROZEN_REAFFIRMED,MC0380,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0381,C12; DE12,PROMINENT_CAUDOLATERAL_EXPANSION_STERNAL_PLATE_PRODUCING_RENIFORM_PROFIL,FROZEN_REAFFIRMED,MC0381,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0386,C12; M19; M26,DIAMETER_PROXIMAL_END_RADIUS_RADIUS_LENGTH,FROZEN_REAFFIRMED,MC0386,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0388,C12; M19; M26,LENGTH_METACARPAL_I_LENGTHS_METACARPAL_II_III,FROZEN_REAFFIRMED,MC0388,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0391,C12; M19; M26,PROJECTED_LINE_CONNECTING_ARTICULAR_SURFACES_ISCHIADIC_PUBIC_PROCESSES,FROZEN_REAFFIRMED,MC0391,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0394,C12; M19; M26,PROJECTED_LINE_LONG_AXIS_ISCHIUM_BODY_ARTICULATION_ILIUM,FROZEN_REAFFIRMED,MC0394,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0401,C12; M19; M26,TIBIA_FEMUR_LENGTH,FROZEN_REAFFIRMED,MC0401,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0410,C12; M19; M26,NUMBER_PHALANGES_PEDAL_DIGIT_IV,FROZEN_REAFFIRMED,MC0410,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0414,DE12; M19; M26,PREMAXILLA_MAXILLA_SUTURE,FROZEN_REAFFIRMED,MC0414,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0418,DE12; M19; M26,MAXILLARY_TEETH,FROZEN_REAFFIRMED,MC0418,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0426,DE12; M19; M26,POSTERIOR_CERVICAL_ANTERIOR_DORSAL_NEURAL_SPINES_HEIGHT,FROZEN_REAFFIRMED,MC0426,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0427,DE12; M19; M26,POSTERIOR_CERVICAL_ANTERIOR_DORSAL_SPINODIAPOPHYSEAL_LAMINAE_SINGLE,FROZEN_REAFFIRMED,MC0427,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0445,DE12; M19; M26,HUMERUS_STRONG_POSTEROLATERAL_BULGE_AROUND_LEVEL_DELTOPECTORAL_CREST,FROZEN_REAFFIRMED,MC0445,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0447,DE12; M19; M26,ULNA_DISTAL_END,FROZEN_REAFFIRMED,MC0447,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0448,DE12,METACARPAL_IV_ARTICULATION_FOR_METACARPAL_V,FROZEN_WITH_LATER_REDIRECT,MC0448,high,Earlier DE12 metacarpal-IV/V articulation concept retained; later M19/M26 formulation redirects here.
MC0451,DE12; M19; M26,ILIUM_PREACETABULAR_KINK_VENTRAL_MARGIN_ABSENT,FROZEN_REAFFIRMED,MC0451,high,"Accepted during Phase 1. Residual review status was a metadata carryover, not unresolved biological equivalence. The canonical identity is reaffirmed for v1.0."
MC0454,DE12; M19; M26,ISCHIUM_PUBIC_PEDUNCLE,FROZEN_SCOPE_VARIANT,MC0454,moderate,DE12 and M19/M26 share the stated biological target—large versus small ischial contribution to the acetabulum—and the later character explicitly cites D'Emic (2012). The shift from qualitative peduncle shape to a quantitative peduncle/proximal-plate ratio is retained as an operationalization change.
MC0462,DE12,ASTRAGALUS_POSTERIOR_END_PROXIMAL_FACE_TUBERCLE,FROZEN_WITH_LATER_REDIRECT,MC0462,high,Earlier DE12 posterior astragalar projection concept retained; later M19/M26 formulation redirects here.
MC0522,M19; M26,BASIOCCIPITAL_FORAMEN_PIT_POSTERIOR_BASAL_TUBERA,FROZEN_CONSERVATIVE,MC0522,high,A foramen/pit on the posterior surface of the basal tubera is anatomically distinct from the broader basioccipital depression between the foramen magnum and basal tubera.
MC0537,M19,POSTAXIAL_CERVICAL_CENTRA_LATERAL_SURFACES,FROZEN_HISTORICAL_PARENT,MC0537,high,M19 C122 is retained as the historical compound parent that combines depth of the postaxial cervical pneumatic excavation with subdivision by accessory laminae. M26 decomposes those dimensions into MC0916 and MC0924.
MC0581,M19,ANTERIORMOST_CAUDAL_CAMELLATE_TERNAL_TISSUE_STRUCTURE,FROZEN_HISTORICAL_PARENT,MC0581,high,M19 C176 is retained as the historical broad parent for anteriormost-caudal camellation. M26 decomposes it into centrum-specific MC0917 and neural-arch-specific MC0937.
MC0855,M19; M26,POSTERIOR_DORSAL_SACRAL_NEURAL_SPINES_DORSOVENTRAL_HEIGHT_CENTRUM,REDIRECT_TO_EXISTING,MC0111,high,serial_scope_and_threshold_modified: Both derive from the Wilson/Upchurch neural-spine-height lineage and measure neural-spine height relative to centrum length. M19/M26 broaden the serial scope from sacrals to posterior dorsals and/or sacrals and repartition the threshold states.
